Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,overtime_flag,business_travel_ord,dept_Sales,dept_RD,dept_HR,marital_Single,marital_Married,marital_Divorced,salary_percentile,promotion_gap_months,tenure_ratio
23,6,5,4,2,4,3,11005,0,13,3,1,0,2,3,1,0,0,0,0,1,2,0,1,0,0,1,0,0.3116119355857278,0.0,0.0
48,4,5,3,2,2,3,8055,0,24,3,1,2,24,2,2,9,3,1,9,0,2,0,0,1,0,0,1,0.2362986940506753,1.0,0.36
43,4,1,1,4,3,1,13672,4,20,3,4,2,35,4,2,22,15,4,9,0,0,1,0,0,0,1,0,0.5715377268385864,4.0,0.6111111111111112
46,15,3,1,3,3,4,16075,8,25,4,1,2,27,6,3,1,0,1,1,0,1,1,0,0,1,0,0,0.7048710601719198,1.0,0.03571428571428571
37,6,1,1,2,3,1,18224,9,21,3,4,3,25,6,1,0,0,0,0,1,1,0,1,0,0,1,0,0.7443953268077045,0.0,0.0
56,3,5,2,1,4,1,3146,8,18,3,4,2,29,4,4,18,11,1,14,0,1,0,1,0,1,0,0,0.04061414587938112,1.0,0.6
32,22,5,1,2,2,2,15474,9,22,4,3,1,12,6,1,0,0,0,0,1,1,1,0,0,1,0,0,0.6693409742120344,0.0,0.0
44,10,5,4,3,3,2,17404,0,16,3,4,3,31,3,1,13,10,5,6,0,2,0,1,0,0,1,0,0.6732317650773603,5.0,0.40625
51,9,5,3,3,2,2,14559,7,24,3,4,3,30,6,4,8,8,1,4,0,1,1,0,0,0,0,1,0.6171283030881884,1.0,0.25806451612903225
58,14,5,2,1,5,1,15451,5,20,4,3,1,39,5,1,13,11,1,7,0,1,1,0,0,0,1,0,0.6673670805475963,1.0,0.325
50,15,1,2,1,3,2,19601,8,13,3,1,0,24,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0.9004973160719925,0.0,0.0
43,17,2,2,3,1,4,19975,8,19,3,1,3,25,5,3,1,1,1,1,0,2,1,0,0,1,0,0,0.9932505571474053,1.0,0.038461538461538464
24,6,3,2,2,5,2,19627,8,18,4,1,2,1,6,4,0,0,0,0,0,2,0,1,0,0,1,0,0.9050757814966846,0.0,0.0
31,9,3,1,3,4,1,11593,5,25,3,1,1,3,0,4,0,0,0,0,1,1,1,0,0,1,0,0,0.4571155682903534,0.0,0.0
58,4,3,1,2,1,3,5110,0,21,3,4,1,39,0,4,27,16,2,14,0,2,0,0,1,0,1,0,0.12133050563678982,2.0,0.675
26,19,3,3,2,5,2,12767,0,23,3,1,2,14,5,3,14,10,4,11,1,1,0,1,0,0,1,0,0.39280075781496687,4.0,0.9333333333333333
59,4,2,1,4,4,4,17307,7,22,3,4,2,39,2,1,14,6,2,11,0,1,0,1,0,1,0,0,0.6658509630565204,2.0,0.35
59,3,3,4,4,1,1,12686,3,14,3,4,2,35,0,4,22,13,1,9,0,1,0,1,0,1,0,0,0.3891300915693085,1.0,0.6111111111111112
46,4,1,4,1,2,3,1522,4,22,3,3,3,29,2,2,5,5,2,5,1,1,0,1,0,0,1,0,0.008288601199873697,2.0,0.16666666666666666
30,7,2,4,3,2,3,19974,8,15,3,1,3,12,4,1,1,1,1,1,1,1,0,1,0,0,1,0,0.9842516577202399,1.0,0.07692307692307693
48,12,1,2,4,5,1,14773,3,24,4,1,0,38,1,2,7,7,2,7,0,1,1,0,0,1,0,0,0.6304998408150271,2.0,0.1794871794871795
25,4,5,2,1,4,1,13293,8,20,3,3,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0.420705715187875,0.0,0.0
29,16,3,1,3,1,1,11037,2,24,3,3,2,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0.31311177770760973,0.0,0.0
19,23,4,2,1,2,4,8399,3,17,3,1,1,1,0,2,1,1,1,1,0,1,1,0,0,0,1,0,0.30448901623686725,1.0,0.5
56,18,1,4,3,3,3,13110,8,24,3,1,3,35,4,4,16,12,1,8,0,1,0,0,1,1,0,0,0.47393682330617254,1.0,0.4444444444444444
44,4,1,4,1,1,1,18252,8,20,3,3,3,11,4,4,2,2,1,2,1,1,0,1,0,1,0,0,0.7464872118724345,1.0,0.16666666666666666
45,3,4,1,4,5,2,17478,2,18,3,1,0,33,5,3,25,11,1,10,0,2,0,1,0,0,0,1,0.6796652983896432,1.0,0.7352941176470589
59,12,1,3,1,4,1,12997,0,25,3,1,0,39,1,1,4,3,2,3,1,1,0,0,1,1,0,0,0.4667931688804554,2.0,0.1
39,4,5,1,3,1,1,9157,3,23,3,4,3,15,3,4,6,5,1,2,0,1,1,0,0,0,1,0,0.33880929640241964,1.0,0.375
53,6,3,3,2,3,4,3697,9,20,3,2,2,16,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0.10245144858325374,1.0,0.058823529411764705
55,2,4,2,4,4,3,9704,1,17,4,2,0,29,0,3,5,4,2,5,0,1,0,1,0,0,1,0,0.2529207451847174,2.0,0.16666666666666666
59,19,1,4,3,2,1,4989,8,15,3,1,3,28,0,2,2,0,2,2,0,1,0,0,1,1,0,0,0.11641924321910928,2.0,0.06896551724137931
50,2,1,3,3,4,2,18331,6,24,3,2,0,35,2,1,17,9,4,10,1,0,1,0,0,0,1,0,0.8477554918815664,4.0,0.4722222222222222
32,17,1,4,4,1,2,10011,3,25,3,3,2,11,5,4,2,2,2,2,0,1,0,0,1,0,1,0,0.32269226476169216,2.0,0.16666666666666666
22,6,4,2,3,2,2,3120,3,25,3,2,2,1,4,3,0,0,0,0,0,1,0,1,0,0,0,1,0.03970634670034733,0.0,0.0
59,15,2,1,2,1,2,19372,1,22,3,3,3,39,1,3,20,13,2,5,0,1,1,0,0,1,0,0,0.9277936962750717,2.0,0.5
53,3,3,3,4,5,2,14815,8,18,4,2,3,25,6,3,0,0,0,0,0,1,0,1,0,0,1,0,0.5013024944742659,0.0,0.0
37,3,1,3,4,2,3,12538,2,16,3,3,0,17,2,4,0,0,0,0,0,1,0,0,1,1,0,0,0.44391115079808013,0.0,0.0
26,8,4,1,4,5,4,7921,9,20,3,3,2,15,6,4,4,4,1,2,1,1,0,0,1,1,0,0,0.23004799642817278,1.0,0.25
41,7,5,2,2,2,4,15266,8,24,3,1,0,23,0,1,14,14,1,9,0,1,0,1,0,0,0,1,0.5274313230186296,1.0,0.5833333333333334
49,3,5,3,3,1,2,19640,6,16,3,1,2,29,3,4,15,15,1,7,0,1,0,1,0,1,0,0,0.9074044837385539,1.0,0.5
60,9,4,1,3,2,3,19122,9,19,3,3,2,38,0,2,16,11,3,12,0,1,0,1,0,1,0,0,0.833635933059678,3.0,0.41025641025641024
56,12,3,3,3,3,4,18912,3,24,3,2,1,33,5,1,10,9,1,6,0,1,1,0,0,0,1,0,0.8890799108564151,1.0,0.29411764705882354
25,6,4,1,4,1,2,19653,3,18,3,2,2,14,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0.9102462898642248,0.0,0.0
28,7,5,3,3,5,1,19845,8,19,3,3,0,3,1,4,1,1,1,1,0,1,0,0,1,0,0,1,0.968411653086282,1.0,0.25
60,4,1,2,2,4,4,15676,4,25,3,3,0,39,4,4,17,4,2,13,0,1,1,0,0,0,1,0,0.6821394460362942,2.0,0.425
35,22,1,4,2,5,4,9329,1,24,4,4,2,25,1,3,6,6,4,6,0,1,1,0,0,0,1,0,0.34645017510347026,4.0,0.23076923076923078
58,20,1,1,1,4,4,9431,8,19,3,4,0,36,1,4,4,3,1,4,1,1,0,1,0,0,1,0,0.242224502683928,1.0,0.10810810810810811
46,20,3,2,1,1,1,14367,0,21,3,2,3,10,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0.4760814651089359,0.0,0.0
60,16,3,1,4,2,4,4470,9,15,3,3,2,37,2,4,4,4,2,2,1,2,0,0,1,0,0,1,0.09811362875320906,2.0,0.10526315789473684
40,16,3,4,3,1,1,16047,7,25,3,1,0,8,1,2,5,5,1,5,0,1,1,0,0,0,1,0,0.7034702324100605,1.0,0.5555555555555556
47,5,2,4,4,3,3,19133,8,23,3,2,1,31,6,4,3,3,1,3,1,1,0,0,1,1,0,0,0.8807902667708449,1.0,0.09375
19,6,1,4,3,4,1,13665,3,22,3,3,2,0,1,3,0,0,0,0,0,2,0,1,0,1,0,0,0.4387038206504578,0.0,0.0
26,10,3,3,2,2,4,16584,9,23,3,2,3,3,3,2,1,1,1,1,1,1,1,0,0,0,1,0,0.735689270932824,1.0,0.25
59,10,3,2,4,3,1,14061,0,25,3,1,3,38,1,4,22,8,1,14,0,1,0,1,0,1,0,0,0.4594647931796653,1.0,0.5641025641025641
45,4,5,4,2,1,1,18966,7,25,3,2,3,29,2,1,1,1,1,1,1,1,0,1,0,0,1,0,0.8168613830123145,1.0,0.03333333333333333
29,9,5,4,3,1,3,19157,0,24,3,1,0,2,6,3,2,2,2,2,1,1,0,1,0,1,0,0,0.8378986422481844,2.0,0.6666666666666666
36,21,1,2,3,1,2,18152,5,25,3,1,3,14,3,4,0,0,0,0,0,1,0,1,0,0,0,1,0.7369355857278181,0.0,0.0
44,7,2,2,2,1,2,4503,1,19,3,4,1,24,4,1,4,2,1,4,0,2,1,0,0,0,0,1,0.13664438077045526,1.0,0.16
52,3,4,2,2,1,1,7797,6,25,3,4,3,38,3,1,11,7,1,7,0,1,0,1,0,0,0,1,0.17670508367540258,1.0,0.28205128205128205
32,6,3,2,4,4,4,10674,2,24,3,2,2,16,4,2,12,4,5,12,0,1,0,1,0,1,0,0,0.2966924534259552,5.0,0.7058823529411765
32,6,4,4,1,3,4,2531,6,13,3,4,2,15,4,4,7,7,1,7,1,1,0,0,1,0,1,0,0.036611228931800424,1.0,0.4375
56,6,2,4,1,5,3,16983,4,20,3,3,0,37,5,4,25,15,4,15,0,1,1,0,0,0,0,1,0.7605858007004139,4.0,0.6578947368421053
44,3,3,2,1,5,2,13088,6,23,3,4,2,8,3,2,6,6,5,5,1,2,1,0,0,0,0,1,0.5384909264565425,5.0,0.6666666666666666
54,12,3,1,2,1,4,14815,6,23,3,4,0,25,5,4,5,1,1,3,1,1,0,0,1,0,1,0,0.5703761580533542,1.0,0.19230769230769232
56,9,4,4,4,3,4,8003,5,24,3,2,1,26,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.18475686769813704,0.0,0.0
20,12,4,2,2,5,4,19706,2,23,3,2,1,17,4,2,3,3,2,3,1,1,1,0,0,1,0,0,0.9584208850684496,2.0,0.16666666666666666
33,14,1,1,2,1,3,15386,4,23,3,4,0,4,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0.6028574617702869,0.0,0.0
44,19,5,3,3,3,3,12272,6,17,3,1,0,8,5,4,1,1,1,1,0,1,0,1,0,0,1,0,0.36979002210293654,1.0,0.1111111111111111
37,18,4,3,3,3,4,1707,9,16,3,3,3,37,3,1,21,15,3,12,0,2,1,0,0,0,1,0,0.02317733205985355,3.0,0.5526315789473685
33,8,5,3,1,2,1,15489,8,20,3,2,2,4,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0.541364066940322,0.0,0.0
58,9,1,3,1,4,1,19244,8,22,3,3,2,38,5,4,29,15,3,14,1,2,0,1,0,0,1,0,0.8491079886327755,3.0,0.7435897435897436
20,8,5,1,3,4,1,17643,2,25,3,2,3,3,4,4,0,0,0,0,0,2,0,1,0,1,0,0,0.6940716766656142,0.0,0.0
45,16,3,4,3,1,4,14049,2,13,4,3,3,14,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0.4585964635301547,1.0,0.06666666666666667
44,4,5,3,4,5,1,19192,8,25,3,1,2,26,1,3,17,8,4,9,0,0,1,0,0,0,1,0,0.9118751989812162,4.0,0.6296296296296297
48,18,3,3,2,3,3,13742,7,21,3,2,2,31,4,1,15,11,1,6,0,0,0,1,0,1,0,0,0.44308493842753394,1.0,0.46875
30,2,5,3,3,4,2,7090,7,14,3,2,0,15,4,4,6,6,1,6,0,1,1,0,0,1,0,0,0.24418974848774275,1.0,0.375
37,6,2,2,1,5,3,15341,4,25,4,3,1,18,4,4,4,4,4,4,0,0,0,1,0,1,0,0,0.5320887275023681,4.0,0.21052631578947367
22,3,1,3,4,2,1,15400,5,15,4,4,3,17,0,3,7,7,2,6,1,2,1,0,0,0,1,0,0.6646290990130531,2.0,0.3888888888888889
57,17,1,4,1,1,2,6847,0,25,3,3,2,37,5,3,26,17,10,14,0,1,0,1,0,1,0,0,0.1441032522892327,10.0,0.6842105263157895
28,8,1,2,4,3,4,17728,7,24,3,3,1,16,1,3,16,16,5,8,0,1,0,1,0,1,0,0,0.7014919482159773,5.0,0.9411764705882353
33,6,2,4,3,4,4,17920,3,13,3,4,1,13,5,1,2,2,2,1,0,1,1,0,0,0,1,0,0.8189748487742757,2.0,0.14285714285714285
54,9,1,4,3,5,4,8192,5,12,3,2,0,13,4,3,2,2,2,2,0,2,0,1,0,0,1,0,0.19166403536469845,2.0,0.14285714285714285
21,3,4,4,2,3,4,15272,5,17,4,2,0,6,3,1,0,0,0,0,0,1,1,0,0,1,0,0,0.6567335243553009,0.0,0.0
52,20,1,1,1,2,3,11023,9,20,3,3,1,15,2,1,2,2,2,2,0,2,0,1,0,1,0,0,0.31236185664666877,2.0,0.125
29,11,5,1,1,5,3,9986,6,22,4,4,1,5,4,2,3,1,2,0,0,1,1,0,0,0,1,0,0.37822349570200575,2.0,0.5
32,14,3,3,4,1,4,14873,5,21,4,3,3,12,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0.5044995263656458,0.0,0.0
42,12,1,1,1,4,1,14672,3,24,3,4,0,35,5,3,13,11,1,8,1,1,1,0,0,0,0,1,0.6243871378541865,1.0,0.3611111111111111
52,14,3,3,3,5,1,15267,2,23,3,3,0,31,6,3,12,5,5,12,1,1,0,1,0,0,0,1,0.5275497316071992,5.0,0.375
48,5,4,4,3,1,2,3133,6,16,3,4,2,17,5,4,1,1,1,1,1,2,0,1,0,1,0,0,0.040022102936532994,1.0,0.05555555555555555
22,7,5,4,1,5,4,19995,4,15,3,1,2,8,3,3,1,1,1,1,0,0,0,1,0,0,1,0,0.9948294916324597,1.0,0.1111111111111111
34,4,2,4,3,4,2,14689,1,18,3,1,0,13,3,2,2,2,1,2,0,1,1,0,0,1,0,0,0.6255969436485196,1.0,0.14285714285714285
54,15,1,1,3,2,1,2025,9,25,4,4,0,32,4,1,4,4,1,4,0,1,0,1,0,1,0,0,0.016182507104515315,1.0,0.12121212121212122
38,7,3,3,3,1,4,13478,7,25,3,1,1,15,5,4,11,6,5,5,0,1,0,1,0,0,0,1,0.4298626460372592,5.0,0.6875
53,11,3,4,3,1,4,19768,0,18,3,2,0,37,5,1,6,6,1,6,0,1,0,1,0,0,1,0,0.9320334701610357,1.0,0.15789473684210525
44,6,1,3,4,3,3,18643,3,19,3,1,3,35,2,1,9,7,2,9,0,2,0,1,0,1,0,0,0.7824044837385539,2.0,0.25
41,6,1,3,3,3,1,14329,2,23,3,2,0,17,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0.47379223239658985,0.0,0.0
56,14,5,1,1,5,4,13499,0,17,3,4,3,36,0,3,6,5,6,6,0,1,0,1,0,0,1,0,0.43096779286390907,6.0,0.16216216216216217
34,17,5,1,4,4,4,7760,9,21,3,4,0,8,6,4,0,0,0,0,1,1,1,0,0,1,0,0,0.27532632919452404,0.0,0.0
37,20,4,1,4,2,3,16454,3,25,3,4,0,16,4,2,1,1,1,1,0,1,0,1,0,0,1,0,0.6023050205241554,1.0,0.058823529411764705
44,14,1,4,2,4,2,3729,0,24,3,3,0,8,0,3,1,1,1,1,0,2,0,0,1,1,0,0,0.0741154146668155,1.0,0.1111111111111111
55,18,2,3,2,4,3,9659,6,14,3,4,3,26,3,2,8,7,2,8,0,1,0,1,0,0,1,0,0.25134196400378905,2.0,0.2962962962962963
59,6,2,4,1,3,2,5538,6,17,3,2,3,36,1,3,15,7,2,9,1,1,0,1,0,1,0,0,0.10392327123460689,2.0,0.40540540540540543
56,5,3,3,2,5,2,19944,6,20,3,3,1,33,3,1,10,10,2,6,1,1,0,0,1,1,0,0,0.9857126911485656,2.0,0.29411764705882354
57,6,1,2,4,3,2,6224,1,21,3,2,3,38,3,4,21,17,1,9,0,2,0,1,0,1,0,0,0.12436848752762868,1.0,0.5384615384615384
33,5,3,3,1,2,1,18845,9,24,4,4,2,12,6,3,4,4,1,4,1,0,0,1,0,0,1,0,0.8033233343858541,1.0,0.3076923076923077
32,13,4,3,3,4,4,6136,1,24,3,2,3,28,3,1,2,1,2,2,0,1,0,1,0,1,0,0,0.12188190716766656,2.0,0.06896551724137931
35,6,4,4,2,3,3,14579,0,18,3,2,2,12,0,3,1,1,1,1,0,1,0,1,0,0,1,0,0.48752762867066624,1.0,0.07692307692307693
32,4,4,3,3,5,1,18602,6,16,3,3,0,16,1,3,0,0,0,0,0,1,0,0,1,1,0,0,0.8358075678089072,0.0,0.0
53,3,1,4,4,1,4,12354,6,24,3,4,3,38,3,3,31,16,2,16,0,1,1,0,0,0,0,1,0.4993950971028335,2.0,0.7948717948717948
50,3,5,2,2,3,4,15354,7,15,3,1,3,14,6,1,1,1,1,1,1,0,0,1,0,1,0,0,0.532996526681402,1.0,0.06666666666666667
40,7,1,3,2,1,2,18423,4,15,3,4,1,21,1,4,0,0,0,0,0,2,0,1,0,0,1,0,0.7638932743921693,0.0,0.0
32,6,3,1,3,4,4,13744,4,18,3,2,1,15,1,4,8,5,1,8,1,2,0,1,0,1,0,0,0.44324281654562675,1.0,0.5
48,6,2,3,1,2,2,17206,1,24,3,1,1,26,5,4,6,6,5,3,0,1,1,0,0,0,0,1,0.7744667303406558,5.0,0.2222222222222222
56,5,1,1,1,3,1,19253,4,25,3,2,2,33,1,4,16,9,4,7,0,2,1,0,0,0,1,0,0.9174148360394778,4.0,0.47058823529411764
30,13,2,4,1,2,4,18478,8,20,3,4,2,4,5,4,3,3,1,3,0,1,1,0,0,0,0,1,0.8573702642470551,1.0,0.6
60,17,3,2,2,2,2,6608,2,23,3,4,3,39,4,4,18,11,3,12,0,2,1,0,0,0,1,0,0.22241324418974848,3.0,0.45
53,10,5,2,1,4,1,2855,3,24,3,2,1,27,4,4,5,3,1,5,0,1,1,0,0,0,1,0,0.0679401464501751,1.0,0.17857142857142858
39,5,5,2,1,2,3,18704,5,18,3,3,0,6,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0.7893116514051153,0.0,0.0
45,9,1,3,2,5,3,12935,1,25,3,2,0,10,5,1,0,0,0,0,1,2,0,1,0,1,0,0,0.40061572466056206,0.0,0.0
33,4,4,3,2,4,1,10896,2,23,3,4,0,18,4,4,9,9,2,9,0,0,0,1,0,1,0,0,0.3066387748658036,2.0,0.47368421052631576
58,7,2,3,3,2,4,19453,3,25,3,1,1,38,0,1,26,16,6,10,0,1,0,0,1,0,1,0,0.9142761468913941,6.0,0.6666666666666666
